Substance,Source,Specific_Measure,Type_Event,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2017 Q4,,,Number,922
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q1,,,Number,1037
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q2,,,Number,1022
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q3,,,Number,1144
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2018 Q4,,,Number,1166
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q1,,,Number,1099
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q2,,,Number,1060
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q3,,,Number,777
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2019 Q4,,,Number,885
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q1,,,Number,1049
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q2,,,Number,1666
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q3,,,Number,1716
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Canada,1,By quarter,2020 Q4,,,Number,1766
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Crude rate,16.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Number,805
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2016,,,Age-adjusted rate,16.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Crude rate,26.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Number,1287
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2017,,,Age-adjusted rate,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Crude rate,31.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Number,1569
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2018,,,Age-adjusted rate,31.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Crude rate,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Number,1013
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2019,,,Age-adjusted rate,19.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Crude rate,33.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Number,1738
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By year,2020,,,Age-adjusted rate,33.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q1,,,Number,175
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q2,,,Number,157
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q3,,,Number,153
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2016 Q4,,,Number,320
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q1,,,Number,351
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q2,,,Number,361
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q3,,,Number,313
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2017 Q4,,,Number,262
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q1,,,Number,401
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q2,,,Number,374
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q3,,,Number,415
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2018 Q4,,,Number,379
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q1,,,Number,304
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q2,,,Number,249
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q3,,,Number,229
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2019 Q4,,,Number,231
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q1,,,Number,273
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q2,,,Number,488
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q3,,,Number,480
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,British Columbia,59,By quarter,2020 Q4,,,Number,497
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Crude rate,14.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Number,602
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2016,,,Age-adjusted rate,13.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Crude rate,17.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Number,744
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2017,,,Age-adjusted rate,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Crude rate,18.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Number,805
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2018,,,Age-adjusted rate,18.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Crude rate,14.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Number,623
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2019,,,Age-adjusted rate,14
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Crude rate,25.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Number,1144
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By year,2020,,,Age-adjusted rate,25.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q1,,,Number,137
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q2,,,Number,140
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q3,,,Number,159
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2016 Q4,,,Number,166
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q1,,,Number,162
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q2,,,Number,182
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q3,,,Number,183
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2017 Q4,,,Number,217
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q1,,,Number,194
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q2,,,Number,206
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q3,,,Number,210
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2018 Q4,,,Number,195
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q1,,,Number,161
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q2,,,Number,188
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q3,,,Number,149
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2019 Q4,,,Number,125
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q1,,,Number,159
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q2,,,Number,310
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q3,,,Number,344
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Alberta,48,By quarter,2020 Q4,,,Number,331
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Crude rate,7.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Number,83
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2016,,,Age-adjusted rate,7.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Crude rate,7.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Number,85
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2017,,,Age-adjusted rate,7.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Crude rate,10.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Number,126
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2018,,,Age-adjusted rate,11.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Crude rate,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Number,117
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2019,,,Age-adjusted rate,10.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Crude rate,19.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Number,230
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By year,2020,,,Age-adjusted rate,20.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q2,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q3,,,Number,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2016 Q4,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q2,,,Number,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q3,,,Number,22
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2017 Q4,,,Number,18
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q1,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q2,,,Number,28
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q3,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2018 Q4,,,Number,30
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q1,,,Number,25
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q2,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q3,,,Number,23
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2019 Q4,,,Number,35
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q1,,,Number,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q2,,,Number,72
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q3,,,Number,69
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Saskatchewan,47,By quarter,2020 Q4,,,Number,63
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Crude rate,6.7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Number,88
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2016,,,Age-adjusted rate,6.8
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Crude rate,7.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Number,106
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2017,,,Age-adjusted rate,8.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Crude rate,6.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Number,93
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2018,,,Age-adjusted rate,7
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Crude rate,1.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Number,26
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2019,,,Age-adjusted rate,2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Crude rate,Not available
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Number,Not available
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By year,2020,,,Age-adjusted rate,Not available
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q1,,,Number,18
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q2,,,Number,20
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q3,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2016 Q4,,,Number,33
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q1,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q2,,,Number,34
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q3,,,Number,19
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2017 Q4,,,Number,19
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q1,,,Number,21
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q2,,,Number,17
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q3,,,Number,24
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2018 Q4,,,Number,31
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q1,,,Number,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q2,,,Number,10
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Manitoba,46,By quarter,2019 Q3,,,Number,6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Crude rate,6.2
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Number,867
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2016,,,Age-adjusted rate,6.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Crude rate,9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Number,1265
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2017,,,Age-adjusted rate,9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Crude rate,10.3
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Number,1477
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2018,,,Age-adjusted rate,10.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Crude rate,10.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Number,1517
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2019,,,Age-adjusted rate,10.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Crude rate,16.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Number,2425
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By year,2020,,,Age-adjusted rate,16.6
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q1,,,Number,214
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q2,,,Number,218
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q3,,,Number,195
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2016 Q4,,,Number,240
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q1,,,Number,238
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q2,,,Number,311
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q3,,,Number,414
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2017 Q4,,,Number,302
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2018 Q1,,,Number,309
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2018 Q2,,,Number,325
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2018 Q3,,,Number,396
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2018 Q4,,,Number,447
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2019 Q1,,,Number,450
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2019 Q2,,,Number,465
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2019 Q3,,,Number,239
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2019 Q4,,,Number,363
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2020 Q1,,,Number,459
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2020 Q2,,,Number,617
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2020 Q3,,,Number,626
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Ontario,35,By quarter,2020 Q4,,,Number,723
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2016,,,Crude rate,3.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2016,,,Number,258
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2016,,,Age-adjusted rate,3.1
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2017,,,Crude rate,3.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2017,,,Number,281
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2017,,,Age-adjusted rate,3.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2018,,,Crude rate,2.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2018,,,Number,208
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2018,,,Age-adjusted rate,2.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2019,,,Crude rate,4.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2019,,,Number,414
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2019,,,Age-adjusted rate,4.9
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2020,,,Crude rate,6.4
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2020,,,Number,547
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By year,2020,,,Age-adjusted rate,6.5
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2016 Q1,,,Number,66
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2016 Q2,,,Number,64
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2016 Q3,,,Number,68
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2016 Q4,,,Number,60
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2017 Q1,,,Number,66
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2017 Q2,,,Number,79
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2017 Q3,,,Number,68
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2017 Q4,,,Number,68
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2018 Q1,,,Number,54
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2018 Q2,,,Number,50
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2018 Q3,,,Number,42
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2018 Q4,,,Number,62
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2019 Q1,,,Number,119
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2019 Q2,,,Number,83
Opioids,Deaths,Overall numbers,Total apparent opioid toxicity deaths,Quebec,24,By quarter,2019 Q3,,,Number,103
