,Substance,Source,Type of Event,Region,Event Category,Substance_num,Source_num,Grouped Events
174,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
175,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
176,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
177,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
178,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
179,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
180,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
181,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
182,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
183,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
184,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
185,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
186,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
187,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
188,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
189,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
190,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
191,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
192,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
193,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
194,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
195,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
196,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
197,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
198,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
199,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
200,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
201,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
202,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
203,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
204,Opioids,Deaths,Total apparent substance deaths,Ontario,1,1,1,
205,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
206,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
207,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
208,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
209,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
210,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
211,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
212,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
213,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
214,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
215,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
216,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
217,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
218,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
219,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
220,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
221,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
222,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
223,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
224,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
225,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
226,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
227,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
228,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
229,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
230,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
231,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
232,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
233,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
234,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
235,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
236,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
237,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
238,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
239,Opioids,Deaths,Total apparent substance deaths,Quebec,1,1,1,
240,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
241,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
242,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
243,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
244,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
245,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
246,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
247,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
248,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
249,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
250,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
251,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
252,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
253,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
254,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
255,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
256,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
257,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
258,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
259,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
260,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
261,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
262,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
263,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
264,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
265,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
266,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
267,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
268,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
269,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
270,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
271,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
272,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
273,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
274,Opioids,Deaths,Total apparent substance deaths,New Brunswick,1,1,1,
275,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
276,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
277,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
278,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
279,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
280,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
281,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
282,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
283,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
284,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
285,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
286,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
287,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
288,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
289,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
290,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
291,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
292,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
293,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
294,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
295,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
296,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
297,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
298,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
299,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
300,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
301,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
302,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
303,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
304,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
305,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
306,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
307,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
308,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
309,Opioids,Deaths,Total apparent substance deaths,Nova Scotia,1,1,1,
310,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
311,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
312,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
313,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
314,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
315,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
316,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
317,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
318,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
319,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
320,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
321,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
322,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
323,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
324,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
325,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
326,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
327,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
328,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
329,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
330,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
331,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
332,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
333,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
334,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
335,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
336,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
337,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
338,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
339,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
340,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
341,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
342,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
343,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
344,Opioids,Deaths,Total apparent substance deaths,Prince Edward Island,1,1,1,
345,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
346,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
347,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
348,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
349,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
350,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
351,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
352,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
353,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
354,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
355,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
356,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
357,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
358,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
359,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
360,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
361,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
362,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
363,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
364,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
365,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
366,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
367,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
368,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
369,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
370,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
371,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
372,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
373,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
374,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
375,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
376,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
377,Opioids,Deaths,Total apparent substance deaths,Newfoundland and Labrador,1,1,1,
